2022-05-18/14:11:39		Reading training file
2022-05-18/17:01:04		Entered the readDataset method of the Preprocessor class
2022-05-18/17:01:04		Reading training data is a success
2022-05-18/17:01:04		Entered the checkNullvalues method of the Preprocessor class
2022-05-18/17:01:04		Finding missing values is a success
2022-05-18/17:18:35		Entered the readDataset method of the Preprocessor class
2022-05-18/17:18:35		Reading training data is a success
2022-05-18/17:18:35		Entered the checkNullvalues method of the Preprocessor class
2022-05-18/17:18:35		Finding missing values is a success
2022-05-18/17:18:35		Entered the fillMissingValues method of the Preprocessor class
2022-05-18/17:18:35		Entered the checkNullvalues method of the Preprocessor class
2022-05-18/17:18:35		Finding missing values is a success
2022-05-18/17:18:35		Filling missing values is a success
2022-05-18/19:35:49		Entered the readDataset method of the Preprocessor class
2022-05-18/19:35:50		Reading training data is a success
2022-05-18/19:35:50		Entered the checkNullvalues method of the Preprocessor class
2022-05-18/19:35:50		Finding missing values is a success
2022-05-18/19:35:50		Entered the fillMissingValues method of the Preprocessor class
2022-05-18/19:35:50		Entered the checkNullvalues method of the Preprocessor class
2022-05-18/19:35:50		Finding missing values is a success
2022-05-18/19:35:50		There are no null values, thus filling missing values is a success
2022-05-18/19:35:50		Entered the checkOutliers method of the Preprocessor class
2022-05-18/19:35:50		Finding outliers is a success
2022-05-18/19:35:50		Entered the replacingOutliers method of the Preprocessor class
2022-05-18/19:35:50		Entered the checkOutliers method of the Preprocessor class
2022-05-18/19:35:50		Finding outliers is a success
2022-05-18/19:43:49		Entered the readDataset method of the Preprocessor class
2022-05-18/19:43:50		Reading training data is a success
2022-05-18/19:43:50		Saving the plot of target data in Plots folder is a success
2022-05-18/19:43:56		Entered the checkNullvalues method of the Preprocessor class
2022-05-18/19:43:56		Finding missing values is a success
2022-05-18/19:44:01		Entered the fillMissingValues method of the Preprocessor class
2022-05-18/19:44:01		Entered the checkNullvalues method of the Preprocessor class
2022-05-18/19:44:01		Finding missing values is a success
2022-05-18/19:44:01		There are no null values, thus filling missing values is a success
2022-05-18/19:44:05		Entered the checkOutliers method of the Preprocessor class
2022-05-18/19:44:28		Finding outliers is a success
2022-05-18/19:44:54		Entered the replacingOutliers method of the Preprocessor class
2022-05-18/19:46:12		Entered the checkOutliers method of the Preprocessor class
2022-05-18/19:46:12		Finding outliers is a success
2022-05-18/19:52:18		Entered the readDataset method of the Preprocessor class
2022-05-18/19:52:19		Reading training data is a success
2022-05-18/19:52:19		Saving the plot of target data in Plots folder is a success
2022-05-18/19:52:19		Entered the checkNullvalues method of the Preprocessor class
2022-05-18/19:52:19		Finding missing values is a success
2022-05-18/19:52:19		Entered the fillMissingValues method of the Preprocessor class
2022-05-18/19:52:19		Entered the checkNullvalues method of the Preprocessor class
2022-05-18/19:52:19		Finding missing values is a success
2022-05-18/19:52:19		There are no null values, thus filling missing values is a success
2022-05-18/19:52:19		Entered the checkOutliers method of the Preprocessor class
2022-05-18/19:52:19		Finding outliers is a success
2022-05-18/19:52:19		Entered the replacingOutliers method of the Preprocessor class
2022-05-18/19:52:19		Saving the plot of target data after replacing outliers in Plots folder is a success
2022-05-18/19:52:19		Replacing outliers is a success
2022-05-18/20:01:46		Entered the readDataset method of the Preprocessor class
2022-05-18/20:01:46		Reading training data is a success
2022-05-18/20:01:46		Saving the plot of target data in Plots folder is a success
2022-05-18/20:01:46		Entered the checkNullvalues method of the Preprocessor class
2022-05-18/20:01:46		Finding missing values is a success
2022-05-18/20:01:46		Entered the fillMissingValues method of the Preprocessor class
