iter	RMSE
0	18.31391151
1	17.79921284
2	17.38683723
3	16.87780974
4	16.37627148
5	16.01861615
6	15.56835805
7	15.1797875
8	14.85892057
9	14.54420828
10	14.117897
11	13.73993007
12	13.45375881
13	13.11619239
14	12.83500235
15	12.49486127
16	12.1860688
17	11.83572036
18	11.58945525
19	11.38214354
20	11.20383032
21	10.92152315
22	10.66466045
23	10.44679166
24	10.19945726
25	9.969027567
26	9.746042791
27	9.538739002
28	9.343193567
29	9.115347592
30	8.940166226
31	8.725863871
32	8.534264391
33	8.3901733
34	8.197075922
35	8.031669123
36	7.86918134
37	7.688831266
38	7.557767411
39	7.394409824
40	7.305081329
41	7.222872245
42	7.11102276
43	6.998211794
44	6.90809354
45	6.830084615
46	6.703961537
47	6.617199486
48	6.525899103
49	6.424485505
50	6.311638727
51	6.225465155
52	6.156097247
53	6.095704907
54	6.017908901
55	5.94517407
56	5.903762027
57	5.851155658
58	5.818145384
59	5.75428616
60	5.714886606
61	5.638557775
62	5.588031566
63	5.51162261
64	5.452222
65	5.405111333
66	5.3776157
67	5.298153581
68	5.256438898
69	5.20079488
70	5.17872845
71	5.144809951
72	5.091100531
73	5.076066394
74	5.057924142
75	4.989425426
76	4.934120402
77	4.880337311
78	4.831412604
79	4.803468684
80	4.762168316
81	4.718175821
82	4.681122611
83	4.651359502
84	4.610687802
85	4.594005387
86	4.539195486
87	4.499393065
88	4.45642147
89	4.436373475
90	4.416224727
91	4.379458364
92	4.337502198
93	4.311310622
94	4.275251263
95	4.251676977
96	4.22823267
97	4.208323869
98	4.19099838
99	4.176288693
100	4.143125602
101	4.105235641
102	4.073410263
103	4.020407553
104	3.996228438
105	3.949966973
106	3.928417407
107	3.899139289
108	3.883391219
109	3.880888975
110	3.8561764
111	3.841332646
112	3.827416583
113	3.8158547
114	3.801236466
115	3.774367555
116	3.762119091
117	3.747520826
118	3.724499547
119	3.68806334
120	3.662985956
121	3.650672784
122	3.623037822
123	3.603777909
124	3.588130131
125	3.578518466
126	3.57205446
127	3.539528418
128	3.534684427
129	3.526267378
130	3.522112823
131	3.507874683
132	3.47152712
133	3.462502799
134	3.452202983
135	3.443383606
136	3.442926914
137	3.428782627
138	3.415399094
139	3.412465653
140	3.403288406
141	3.374377348
142	3.34664725
143	3.334609028
144	3.317403592
145	3.297517008
146	3.266225657
147	3.255602331
148	3.240876524
149	3.222759067
150	3.213227605
151	3.203136872
152	3.19313329
153	3.185877299
154	3.184894625
155	3.177289853
156	3.165430841
157	3.161103906
158	3.154021622
159	3.135621809
160	3.121600654
161	3.110083653
162	3.089047428
163	3.08358447
164	3.067208237
165	3.051727007
166	3.040072278
167	3.031681745
168	3.01009316
169	3.0005119
170	2.977731544
171	2.969191724
172	2.963030767
173	2.96166034
174	2.954634269
175	2.934517703
176	2.910038796
177	2.904548812
178	2.883151192
179	2.874975079
180	2.867516919
181	2.858051413
182	2.847016122
183	2.835936221
184	2.824359129
185	2.813641188
186	2.80853222
187	2.801200746
188	2.782531078
189	2.757913276
190	2.734472993
191	2.723791078
192	2.717759468
193	2.702152214
194	2.69447606
195	2.687229824
196	2.68173453
197	2.675206572
198	2.668992113
199	2.65925822
200	2.641554027
201	2.632717304
202	2.615985388
203	2.604779127
204	2.596126099
205	2.59215145
206	2.575194635
207	2.568430982
208	2.557930122
209	2.550646177
210	2.544859311
211	2.533369666
212	2.520358323
213	2.513703413
214	2.499732566
215	2.481498435
216	2.474819386
217	2.46850986
218	2.464179761
219	2.460276791
220	2.446096075
221	2.439121262
222	2.425749033
223	2.417264928
224	2.412082427
225	2.399709226
226	2.396598703
227	2.390734094
228	2.372766907
229	2.368005588
230	2.363111185
231	2.352467912
232	2.342392795
233	2.338743653
234	2.324054103
235	2.317673475
236	2.307048643
237	2.302071251
238	2.297862027
239	2.2917372
240	2.28808057
241	2.281944492
242	2.272441676
243	2.265962764
244	2.254427298
245	2.246590817
246	2.24276676
247	2.237242962
248	2.232373868
249	2.226131879
250	2.221837085
251	2.218914708
252	2.210825004
253	2.203617704
254	2.194680558
255	2.189122808
256	2.182908462
257	2.173183647
258	2.165248337
259	2.159662749
260	2.15333705
261	2.150705387
262	2.147458838
263	2.143121491
264	2.134707781
265	2.128280034
266	2.125491852
267	2.11876127
268	2.112704734
269	2.101563527
270	2.097200059
271	2.094510061
272	2.088782946
273	2.086190942
274	2.073906173
275	2.068307645
276	2.066382472
277	2.064599191
278	2.059518893
279	2.050221051
280	2.047958281
281	2.03627863
282	2.029263111
283	2.021582212
284	2.013049896
285	2.004342203
286	2.000978248
287	1.992784562
288	1.989561694
289	1.987552745
290	1.979847499
291	1.972587441
292	1.967906233
293	1.964856716
294	1.962500559
295	1.960865809
296	1.956342046
297	1.949193924
298	1.945885743
299	1.937153268
300	1.935474934
301	1.930578218
302	1.927145807
303	1.923763799
304	1.916395375
305	1.908961699
306	1.907061475
307	1.904830971
308	1.901732679
309	1.900197323
310	1.896118941
311	1.887959655
312	1.8861084
313	1.883157808
314	1.877003995
315	1.875291256
316	1.869866146
317	1.866497636
318	1.864629774
319	1.860916519
320	1.855353437
321	1.853069749
322	1.848710148
323	1.845928929
324	1.838774551
325	1.830320672
326	1.82666953
327	1.823933863
328	1.819123133
329	1.816944409
330	1.81491345
331	1.81097007
332	1.808947562
333	1.80727798
334	1.802294789
335	1.800035758
336	1.798319218
337	1.794542916
338	1.790920679
339	1.787926266
340	1.786065487
341	1.781412322
342	1.774454724
343	1.770882357
344	1.765765667
345	1.759770875
346	1.754646321
347	1.753295074
348	1.749902607
349	1.745982076
350	1.740180833
351	1.736607427
352	1.732088626
353	1.725904545
354	1.718468278
355	1.717055663
356	1.714560509
357	1.713687269
358	1.707885108
359	1.70313461
360	1.700174317
361	1.695390725
362	1.69481041
363	1.692384816
364	1.688149845
365	1.686464259
366	1.680614748
367	1.675251716
368	1.671750123
369	1.666775193
370	1.659916825
371	1.656819038
372	1.654186401
373	1.649920861
374	1.646886002
375	1.640829122
376	1.637259828
377	1.63309899
378	1.629534488
379	1.626299406
380	1.621720945
381	1.617383708
382	1.609496327
383	1.606619786
384	1.60306805
385	1.600433896
386	1.598313933
387	1.595940418
388	1.589742421
389	1.583976879
390	1.579956668
391	1.574545483
392	1.571769233
393	1.569814362
394	1.565308106
395	1.563532172
396	1.561414354
397	1.559165103
398	1.557396575
399	1.554669895
400	1.5504892
401	1.547694429
402	1.546569417
403	1.544601576
404	1.541444106
405	1.539127374
406	1.535294416
407	1.53440995
408	1.533215813
409	1.526232389
410	1.52366852
411	1.518808711
412	1.514283473
413	1.510680867
414	1.50864588
415	1.507808371
416	1.505876376
417	1.503224999
418	1.500154531
419	1.496473379
420	1.492983815
421	1.487679757
422	1.486005502
423	1.483243586
424	1.481487189
425	1.479467392
426	1.47716372
427	1.475316521
428	1.470354095
429	1.468548111
430	1.466615798
431	1.464863455
432	1.46034215
433	1.458100221
434	1.45605852
435	1.453592795
436	1.44818303
437	1.446390235
438	1.444891579
439	1.441874646
440	1.440109519
441	1.436139454
442	1.430189351
443	1.427118837
444	1.42500048
445	1.422309557
446	1.420468362
447	1.419251359
448	1.415633037
449	1.41377281
450	1.411327923
451	1.408767534
452	1.40611788
453	1.402413222
454	1.401392328
455	1.398460524
456	1.394573584
457	1.390404439
458	1.387753757
459	1.382728415
460	1.380981892
461	1.379068195
462	1.377216303
463	1.375073653
464	1.37310574
465	1.369404652
466	1.367208396
467	1.365584056
468	1.363173533
469	1.361004352
470	1.357637179
471	1.355790219
472	1.354161133
473	1.352458497
474	1.350034381
475	1.348114718
476	1.345548288
477	1.343842619
478	1.342705892
479	1.340543801
480	1.33898265
481	1.337380405
482	1.335585058
483	1.332887612
484	1.33142229
485	1.329867725
486	1.326309545
487	1.324899787
488	1.322269298
489	1.319383554
490	1.317773272
491	1.313153393
492	1.310727134
493	1.305959679
494	1.304577602
495	1.302793465
496	1.301125943
497	1.299210579
498	1.297291437
499	1.295149704
500	1.293580912
501	1.292357103
502	1.291074745
503	1.288756996
504	1.287099389
505	1.284832128
506	1.283282542
507	1.281129225
508	1.277036721
509	1.274042917
510	1.272383866
511	1.270707067
512	1.26997907
513	1.26868133
514	1.265273201
515	1.260889244
516	1.258701559
517	1.256224715
518	1.254177803
519	1.253009085
520	1.251337861
521	1.248646522
522	1.246865574
523	1.244282431
524	1.240177677
525	1.23866781
526	1.235448163
527	1.233807004
528	1.232409974
529	1.230036386
530	1.227716204
531	1.226674334
532	1.225602088
533	1.223949595
534	1.222741082
535	1.219810179
536	1.218495458
537	1.216816906
538	1.215073167
539	1.213838542
540	1.212548116
541	1.210879622
542	1.210023168
543	1.208829929
544	1.207448192
545	1.205917622
546	1.204538842
547	1.203428213
548	1.202417208
549	1.198632629
550	1.196324762
551	1.193403601
552	1.191830177
553	1.190829542
554	1.190116149
555	1.189491807
556	1.188142212
557	1.187032908
558	1.185770296
559	1.184186607
560	1.182838577
561	1.181873485
562	1.179997222
563	1.178664146
564	1.176464352
565	1.175146106
566	1.174285226
567	1.173497478
568	1.172396142
569	1.170897946
570	1.169319525
571	1.168482538
572	1.166883204
573	1.164459139
574	1.163146766
575	1.162360126
576	1.160317299
577	1.159150507
578	1.158150935
579	1.157362688
580	1.155517657
581	1.154412219
582	1.152055772
583	1.149689275
584	1.148253535
585	1.145260002
586	1.144280236
587	1.143122954
588	1.141757711
589	1.140344554
