iter	Passed	Remaining
0	133	132880
1	135	67684
2	137	45826
3	140	34899
4	142	28268
5	143	23854
6	146	20712
7	148	18379
8	150	16549
9	152	15103
10	154	13892
11	156	12892
12	157	11963
13	159	11209
14	161	10620
15	164	10091
16	166	9623
17	168	9205
18	171	8834
19	172	8468
20	174	8151
21	176	7832
22	177	7547
23	179	7289
24	180	7044
25	182	6819
26	183	6609
27	184	6404
28	185	6209
29	186	6029
30	187	5860
31	188	5704
32	189	5549
33	190	5415
34	191	5284
35	192	5157
36	193	5036
37	194	4922
38	195	4813
39	196	4711
40	197	4609
41	197	4513
42	198	4420
43	199	4331
44	199	4244
45	200	4157
46	201	4077
47	201	4003
48	202	3930
49	203	3861
50	204	3796
51	204	3731
52	205	3669
53	206	3609
54	206	3553
55	207	3500
56	208	3444
57	208	3392
58	209	3337
59	210	3294
60	211	3248
61	212	3209
62	212	3167
63	213	3126
64	214	3089
65	215	3053
66	216	3018
67	217	2985
68	218	2953
69	219	2921
70	220	2889
71	222	2863
72	223	2840
73	224	2810
74	225	2778
75	226	2751
76	227	2724
77	228	2695
78	229	2670
79	230	2649
80	231	2627
81	232	2606
82	234	2585
83	235	2565
84	236	2545
85	237	2527
86	238	2507
87	239	2486
88	240	2466
89	241	2444
90	242	2426
91	243	2405
92	244	2388
93	245	2369
94	246	2349
95	247	2331
96	248	2311
97	249	2295
98	252	2298
99	253	2284
100	254	2269
101	255	2250
102	256	2233
103	257	2215
104	257	2196
105	258	2179
106	258	2161
107	259	2143
108	260	2126
109	260	2108
110	261	2093
111	262	2077
112	262	2061
113	263	2044
114	263	2030
115	264	2014
116	265	2001
117	265	1986
118	266	1971
119	266	1957
120	267	1944
121	268	1930
122	268	1916
123	269	1903
124	270	1893
125	271	1882
126	272	1872
127	272	1859
128	273	1846
129	273	1833
130	274	1820
131	275	1810
132	275	1797
133	276	1785
134	277	1777
135	278	1768
136	278	1756
137	279	1748
138	280	1738
139	281	1728
140	282	1720
141	283	1711
142	284	1703
143	285	1695
144	286	1688
145	287	1679
146	288	1672
147	289	1664
148	290	1657
149	291	1650
150	292	1643
151	293	1636
152	294	1630
153	295	1624
154	296	1615
155	297	1610
156	298	1604
157	300	1598
158	301	1592
159	302	1586
160	303	1579
161	304	1574
162	305	1568
163	306	1562
164	307	1556
165	308	1550
166	309	1545
167	311	1540
168	312	1535
169	313	1530
170	314	1526
171	316	1521
172	317	1517
173	318	1510
174	319	1506
175	320	1502
176	322	1497
177	323	1494
178	325	1491
179	326	1485
180	326	1479
181	328	1474
182	328	1468
183	329	1462
184	331	1461
185	332	1456
186	333	1450
187	334	1444
188	335	1440
189	336	1434
190	338	1434
191	339	1429
192	340	1424
193	341	1418
194	342	1413
195	343	1409
196	344	1403
197	345	1399
198	346	1393
199	347	1389
200	348	1384
201	348	1378
202	349	1372
203	350	1366
204	350	1360
205	351	1354
206	353	1355
207	354	1350
208	355	1344
209	356	1340
210	357	1335
211	357	1329
212	358	1324
213	359	1318
214	359	1312
215	360	1307
216	360	1301
217	361	1296
218	361	1290
219	362	1286
220	364	1283
221	364	1277
222	365	1272
223	365	1267
224	367	1264
225	369	1264
226	370	1260
227	370	1255
228	371	1250
229	372	1246
230	372	1241
231	373	1236
232	373	1230
233	374	1225
234	374	1220
235	375	1214
236	375	1210
237	376	1206
238	378	1204
239	379	1201
240	380	1197
241	381	1195
242	383	1195
243	384	1191
244	385	1186
245	385	1182
246	386	1178
247	387	1173
248	388	1170
249	388	1166
250	389	1161
251	389	1157
252	390	1152
253	391	1149
254	393	1150
255	394	1146
256	396	1147
257	402	1156
258	404	1157
259	408	1164
260	412	1167
261	413	1166
262	416	1167
263	417	1164
264	420	1165
265	421	1161
266	421	1157
267	431	1179
268	437	1189
269	438	1186
270	440	1184
271	441	1182
272	442	1178
273	443	1175
274	444	1172
275	446	1170
276	447	1167
277	448	1163
278	449	1160
279	450	1157
280	453	1160
281	456	1161
282	457	1158
283	458	1155
284	458	1151
285	459	1147
286	461	1145
287	461	1142
288	462	1138
289	463	1134
290	464	1132
291	465	1128
292	465	1124
293	466	1121
294	468	1118
295	469	1116
296	470	1113
297	471	1109
298	471	1105
299	472	1102
300	472	1098
301	473	1094
302	474	1090
303	475	1087
304	475	1083
305	476	1080
306	477	1077
307	478	1074
308	478	1070
309	479	1066
310	479	1063
311	480	1059
312	480	1055
313	481	1051
314	482	1048
315	483	1046
316	484	1044
317	486	1042
318	486	1039
319	487	1036
320	488	1033
321	489	1030
322	490	1027
323	490	1023
324	491	1020
325	491	1016
326	492	1013
327	493	1010
328	493	1006
329	494	1003
330	494	999
331	495	996
332	495	993
333	496	990
334	497	987
335	498	984
336	498	981
337	499	977
338	499	974
339	500	970
340	500	967
341	501	964
342	501	961
343	502	957
344	502	954
345	503	951
346	503	948
347	504	945
348	505	942
349	505	939
350	506	935
351	507	933
352	507	930
353	508	927
354	508	924
355	509	922
356	510	919
357	511	916
358	511	913
359	512	910
360	512	907
361	513	904
362	513	901
363	514	899
364	515	896
365	515	893
366	516	890
367	516	887
368	517	885
369	518	883
370	519	881
371	520	879
372	522	877
373	523	876
374	524	874
375	526	872
376	526	870
377	527	868
378	528	865
379	529	863
380	529	860
381	531	859
382	532	857
383	532	854
384	533	852
385	534	849
386	535	847
387	535	844
388	536	842
389	537	839
390	537	837
391	538	834
392	538	832
393	539	830
394	540	827
395	541	825
396	541	822
397	542	820
398	543	817
399	544	816
400	545	814
401	545	811
402	545	808
403	546	806
404	547	804
405	548	802
406	549	801
407	550	799
408	551	797
409	552	795
410	553	793
411	554	791
412	555	789
413	556	787
414	557	785
415	558	783
416	559	781
417	559	779
418	560	777
419	561	775
420	562	773
421	563	771
422	564	770
423	565	768
424	566	766
425	567	764
426	568	763
427	569	761
428	570	759
429	571	757
430	572	755
431	573	753
432	574	751
433	574	749
434	575	747
435	576	745
436	577	744
437	578	742
438	580	741
439	580	739
440	581	736
441	582	735
442	582	732
443	583	730
444	584	728
445	584	726
446	585	724
447	586	722
448	586	720
449	587	718
450	588	716
451	589	714
452	589	712
453	590	710
454	591	708
455	592	706
456	592	704
457	593	702
458	594	700
459	594	698
460	595	696
461	596	694
462	596	691
463	597	690
464	599	689
465	600	688
466	601	686
467	602	684
468	602	682
469	603	680
470	604	678
471	604	676
472	605	674
473	605	672
474	606	669
475	606	667
476	607	665
477	608	664
478	608	661
479	609	659
480	609	657
481	609	655
482	610	653
483	610	651
484	611	649
485	612	647
486	612	645
487	613	643
488	613	641
489	614	639
490	614	637
491	615	635
492	615	633
493	616	631
494	616	629
495	617	627
496	617	625
497	618	623
498	618	621
499	619	619
500	619	617
501	620	615
502	620	612
503	621	611
504	622	609
505	623	608
506	623	606
507	624	604
508	624	602
509	624	600
510	625	598
511	626	596
512	626	594
513	627	593
514	627	591
515	628	589
516	628	587
517	629	585
518	629	583
519	630	581
520	630	579
521	631	578
522	632	576
523	632	574
524	633	573
525	634	571
526	635	570
527	635	568
528	636	566
529	636	564
530	637	562
531	637	560
532	638	559
533	638	557
534	639	555
535	640	554
536	640	552
537	641	550
538	641	548
539	641	546
540	642	545
541	642	543
542	643	541
543	644	540
544	645	538
545	646	537
546	647	536
547	648	534
548	649	533
549	650	531
550	651	530
551	652	529
552	653	527
553	654	526
554	654	525
555	656	523
556	656	522
557	657	521
558	658	519
559	659	518
560	660	517
561	661	515
562	662	514
563	663	512
564	663	510
565	664	509
566	665	508
567	666	506
568	667	505
569	668	504
570	669	502
571	670	501
572	671	500
573	672	499
574	673	497
575	674	496
576	675	495
577	676	494
578	677	492
579	678	491
580	680	490
581	681	489
582	682	487
583	683	486
584	684	485
585	685	484
586	686	482
587	687	481
588	688	480
589	689	478
590	690	477
591	691	476
592	692	475
593	693	474
594	694	472
595	695	471
596	697	470
597	698	469
598	699	468
599	700	466
600	701	465
601	702	464
602	703	463
603	704	461
604	705	460
605	706	459
606	707	458
607	708	457
608	709	455
609	711	454
610	712	453
611	713	452
612	714	451
613	715	449
614	716	448
615	717	447
616	718	445
617	718	444
618	719	442
619	720	441
620	722	440
621	723	439
622	724	438
623	725	436
624	726	435
625	727	434
626	728	433
627	729	432
628	730	430
629	730	429
630	731	428
631	732	426
632	733	425
633	734	423
634	735	422
635	736	421
636	737	420
637	738	418
638	738	417
639	739	415
640	739	414
641	740	412
642	741	411
643	741	410
644	742	408
645	743	407
646	744	406
647	745	404
648	746	403
649	747	402
650	748	401
651	749	399
652	749	398
653	751	397
654	752	396
655	753	394
656	753	393
657	754	392
658	755	390
659	756	389
660	757	388
661	757	386
662	758	385
663	759	384
664	760	382
665	760	381
666	762	380
667	762	379
668	764	378
669	765	376
670	766	375
671	767	374
672	768	373
673	768	371
674	769	370
675	771	369
676	773	369
677	774	367
678	775	366
679	776	365
680	777	364
681	778	362
682	778	361
683	779	360
684	780	358
685	780	357
686	781	356
687	781	354
688	782	353
689	783	351
690	783	350
691	784	349
692	785	347
693	785	346
694	786	345
695	786	343
696	787	342
697	788	340
698	788	339
699	789	338
700	790	337
701	791	335
702	792	334
703	793	333
704	794	332
705	795	331
706	796	329
707	797	328
708	798	327
709	799	326
710	800	325
711	801	324
712	801	322
713	802	321
714	803	320
715	804	318
716	805	317
717	806	316
718	807	315
719	808	314
720	809	313
721	810	312
722	811	310
723	812	309
724	813	308
725	814	307
726	815	306
727	816	304
728	816	303
729	817	302
730	818	301
731	819	299
732	820	298
733	820	297
734	821	296
735	822	295
736	823	293
737	824	292
738	825	291
739	826	290
740	827	289
741	828	288
742	829	286
743	830	285
744	831	284
745	832	283
746	833	282
747	834	281
748	835	280
749	836	278
750	838	277
751	838	276
752	840	275
753	841	274
754	842	273
755	843	272
756	844	271
757	845	269
758	846	268
759	847	267
760	848	266
761	849	265
762	850	264
763	851	263
764	852	261
765	853	260
766	854	259
767	855	258
768	856	257
769	857	256
770	858	255
771	860	254
772	861	252
773	862	251
774	862	250
775	863	249
776	864	248
777	865	246
778	866	245
779	867	244
780	867	243
781	868	242
782	870	241
783	870	239
784	871	238
785	872	237
786	873	236
787	874	235
788	874	233
789	875	232
790	876	231
791	876	230
792	877	229
793	878	228
794	879	226
795	881	225
796	882	224
797	884	223
798	885	222
799	886	221
800	887	220
801	888	219
802	888	218
803	889	216
804	890	215
805	891	214
806	892	213
807	893	212
808	893	211
809	894	209
810	895	208
811	896	207
812	897	206
813	897	205
814	898	203
815	899	202
816	900	201
817	900	200
818	901	199
819	902	198
820	902	196
821	903	195
822	904	194
823	904	193
824	905	192
825	906	190
826	907	189
827	907	188
828	908	187
829	908	186
830	909	185
831	910	183
832	911	182
833	912	181
834	913	180
835	914	179
836	915	178
837	916	177
838	917	176
839	918	174
840	919	173
841	920	172
842	921	171
843	922	170
844	923	169
845	924	168
846	925	167
847	926	166
848	927	164
849	928	163
850	929	162
851	930	161
852	931	160
853	931	159
854	932	158
855	933	156
856	934	155
857	934	154
858	935	153
859	936	152
860	937	151
861	937	150
862	938	148
863	939	147
864	940	146
865	941	145
866	942	144
867	943	143
868	944	142
869	944	141
870	945	140
871	949	139
872	950	138
873	951	137
874	952	136
875	953	134
876	954	133
877	954	132
878	955	131
879	956	130
880	957	129
881	958	128
882	958	127
883	959	125
884	960	124
885	960	123
886	961	122
887	962	121
888	962	120
889	963	119
890	964	117
891	965	116
892	966	115
893	967	114
894	968	113
895	969	112
896	970	111
897	971	110
898	972	109
899	973	108
900	974	107
901	975	105
902	975	104
903	976	103
904	977	102
905	978	101
906	979	100
907	980	99
908	981	98
909	983	97
910	984	96
911	985	95
912	986	93
913	986	92
914	987	91
915	989	90
916	990	89
917	991	88
918	991	87
919	992	86
920	994	85
921	995	84
922	996	83
923	997	82
924	998	80
925	999	79
926	1000	78
927	1001	77
928	1002	76
929	1003	75
930	1004	74
931	1005	73
932	1006	72
933	1006	71
934	1007	70
935	1008	68
936	1009	67
937	1010	66
938	1010	65
939	1011	64
940	1012	63
941	1013	62
942	1014	61
943	1014	60
944	1015	59
945	1016	58
946	1017	56
947	1017	55
948	1018	54
949	1020	53
950	1020	52
951	1021	51
952	1022	50
953	1022	49
954	1023	48
955	1024	47
956	1024	46
957	1025	44
958	1026	43
959	1026	42
960	1027	41
961	1028	40
962	1028	39
963	1029	38
964	1030	37
965	1030	36
966	1031	35
967	1031	34
968	1032	33
969	1033	31
970	1033	30
971	1034	29
972	1034	28
973	1035	27
974	1035	26
975	1036	25
976	1036	24
977	1037	23
978	1037	22
979	1037	21
980	1038	20
981	1038	19
982	1039	17
983	1040	16
984	1041	15
985	1042	14
986	1042	13
987	1043	12
988	1045	11
989	1046	10
990	1047	9
991	1048	8
992	1049	7
993	1050	6
994	1052	5
995	1053	4
996	1054	3
997	1055	2
998	1056	1
999	1057	0
